source,target
5679112812587673136,15045578858232997570
5679112812587673136,6847911016071917995
5679112812587673136,13215100266514055936
5679112812587673136,18132682703003500105
5679112812587673136,7422287691854027578
10247494253034349414,7777403422853117269
10247494253034349414,14027126264172021394
10247494253034349414,10509069527219184280
10247494253034349414,12448284484533903865
10247494253034349414,5706472842039311672
10247494253034349414,9202965831117731523
10247494253034349414,4946452422128145608
10247494253034349414,13538208001490353167
10247494253034349414,16003074901489771674
10247494253034349414,13633324911007992224
2080725945568323480,562237100522414355
2080725945568323480,11332582555860383082
2080725945568323480,5939725836829968164
2080725945568323480,1084319492318901004
2080725945568323480,14104802430711603539
2080725945568323480,9202965831117731523
2080725945568323480,6843940700304940236
2080725945568323480,538398365923629719
2080725945568323480,18132682703003500105
2080725945568323480,3631250814487371332
1489993461186349819,9446036753714768070
1489993461186349819,16321964883897008955
1489993461186349819,4409352826752170255
1489993461186349819,16723545265565394037
1489993461186349819,1506589467047559028
1489993461186349819,5831470711760403079
1489993461186349819,5398250034280063458
1489993461186349819,11949610481886008050
1489993461186349819,17519287121832661123
1489993461186349819,7460358716781918299
10648730190837903444,216438368197785889
10648730190837903444,3197047365987925435
10648730190837903444,11936036095204903724
10648730190837903444,5955413268392323087
10648730190837903444,9376799126678585886
10648730190837903444,12862949442409413419
10648730190837903444,12357812522076543169
10648730190837903444,5213958580869472360
10648730190837903444,7422287691854027578
10648730190837903444,1961307044263115510
4399704678323594501,17933331652562110215
4399704678323594501,1084319492318901004
4399704678323594501,8360206094980864256
4399704678323594501,2823127473835678920
4399704678323594501,2013000463698223915
4399704678323594501,5454526319994403122
4399704678323594501,15244822656904325728
4399704678323594501,1332183124650822989
4399704678323594501,6847911016071917995
4399704678323594501,9459085455755039490
17852612799127925294,7553866733767991626
17852612799127925294,14385566492130847985
17852612799127925294,7732126400119097972
17852612799127925294,5748810434053884988
17852612799127925294,15832217943222816805
17852612799127925294,14437481283689753182
17852612799127925294,3767013258558681066
17852612799127925294,4867624544713105551
17852612799127925294,1932148436979802439
17852612799127925294,2263694881189783599
4214277860018394789,12027337611433656084
4214277860018394789,1586227916012731885
4214277860018394789,7848563193419906764
4214277860018394789,8641901304766229305
4214277860018394789,6167729176201706091
4214277860018394789,12947021549796386861
4214277860018394789,14597112453058323908
4214277860018394789,5977704821710393938
4214277860018394789,17948578969397859634
4214277860018394789,1190209612638819150
3962376345999534905,562237100522414355
3962376345999534905,11332582555860383082
3962376345999534905,8381802927252775875
3962376345999534905,1084319492318901004
3962376345999534905,14513443507521408732
3962376345999534905,17336518003978985923
3962376345999534905,5734660124489217225
3962376345999534905,3308130151685168031
3962376345999534905,16101441788795664751
3962376345999534905,2080725945568323480
2618637740509683199,8398995444646710436
2618637740509683199,3346020796831581502
2618637740509683199,2118256880409895283
2618637740509683199,4756775468544563841
2618637740509683199,16756239703257471060
2618637740509683199,13449987834672603037
2618637740509683199,7422287691854027578
2618637740509683199,1377663741039681720
2618637740509683199,15306693009332316298
2618637740509683199,1046153585432636063
3854089764774945796,11225595947544287162
3854089764774945796,1598067048343505827
3854089764774945796,4482987782633561427
3854089764774945796,9747372038792083160
3854089764774945796,191154111431141959
3854089764774945796,15566906561509014132
3854089764774945796,4692405695373102885
3854089764774945796,8432197776576831950
3854089764774945796,5688183201551402886
3854089764774945796,16223135719897629050
4333318140645464937,1434044974822666128
4333318140645464937,11803810325855635298
4333318140645464937,16561662888590538815
4333318140645464937,4234886412431304438
4333318140645464937,11407588976223023482
4333318140645464937,7687042620031061140
4333318140645464937,7477654632383057591
4333318140645464937,17377701994371892269
4333318140645464937,10477579892776570373
4333318140645464937,18390664711257628156
9751592570670668759,342103249347579926
9751592570670668759,4333318140645464937
9751592570670668759,8348503768996874137
9751592570670668759,16927833647185851638
9751592570670668759,18119837336464467517
9751592570670668759,16736769835102109818
9751592570670668759,10246545462566091750
9751592570670668759,2201799008000735189
9751592570670668759,5261154294103263125
9751592570670668759,789468812864626323
2366035291457939803,9751592570670668759
2366035291457939803,18096721817986336389
2366035291457939803,2071567823123986655
2366035291457939803,18383078777931140809
2366035291457939803,4089956285860520478
2366035291457939803,18119837336464467517
2366035291457939803,18208858326502874763
2366035291457939803,9571476592467362056
2366035291457939803,789468812864626323
2366035291457939803,6600227305452648644
789468812864626323,16567631213866338548
789468812864626323,5934177154026985203
789468812864626323,9150632139859632510
789468812864626323,3176712376745144849
789468812864626323,11925753686537329651
789468812864626323,191154111431141959
789468812864626323,10016184481343284530
789468812864626323,14786987973397796782
789468812864626323,12971829007153688486
789468812864626323,13246078620089878466
342103249347579926,1434044974822666128
342103249347579926,8168566389239898982
342103249347579926,13445434946259952951
342103249347579926,17872837896223258815
342103249347579926,4234886412431304438
342103249347579926,3884612417502323920
342103249347579926,11407588976223023482
342103249347579926,10163492393202361287
342103249347579926,7477654632383057591
342103249347579926,18390664711257628156
10413443285896404702,9751592570670668759
10413443285896404702,9069886964120186215
10413443285896404702,10634045990076947731
10413443285896404702,17113350606964878090
10413443285896404702,8960855261817712939
10413443285896404702,15291912573688820929
10413443285896404702,8554259934827012522
10413443285896404702,17037735270803325539
10413443285896404702,789468812864626323
10413443285896404702,13505226937986080014
3979021768671065201,10698989460529461774
3979021768671065201,11807014932687401869
3979021768671065201,1186329659601649053
3979021768671065201,441937914130825853
3979021768671065201,16162679266723022512
3979021768671065201,10246545462566091750
3979021768671065201,7422287691854027578
3979021768671065201,1773583530573006634
3979021768671065201,2618637740509683199
3979021768671065201,449615921280151860
441937914130825853,9631638749448645553
441937914130825853,15131684488004834759
441937914130825853,13614033475826848350
441937914130825853,9505184648687816887
441937914130825853,5860383057963065395
441937914130825853,658853064343658972
441937914130825853,15361993876847612983
441937914130825853,13552171639559139188
441937914130825853,7795278276423536044
441937914130825853,14753960984742864865
17356745435013955378,7325443777421068238
17356745435013955378,16079195565081284682
17356745435013955378,7250238144491927793
17356745435013955378,13753285876908961086
17356745435013955378,8592638108803959281
17356745435013955378,7327544618001460574
